tweet_id,retweet_count,favorite_count,favorited,retweeted
666020888022790149,7727.0,36303.0,False,False
666029285002620928,5719.0,31302.0,False,False
666033412701032449,3785.0,23578.0,False,False
666044226329800704,7888.0,39615.0,False,False
666049248165822465,8507.0,37821.0,False,False
666050758794694657,2851.0,19049.0,False,False
666051853826850816,1854.0,11091.0,False,False
666055525042405380,17247.0,61178.0,False,False
666057090499244032,3925.0,26213.0,False,False
666058600524156928,6716.0,29961.0,False,False
666063827256086533,6707.0,28839.0,False,False
666071193221509120,4565.0,26214.0,False,False
666073100786774016,9155.0,45161.0,False,False
666082916733198337,4108.0,25426.0,False,False
666094000022159362,2060.0,14215.0,False,False
666099513787052032,4874.0,23686.0,False,False
666102155909144576,4117.0,27375.0,False,False
666104133288665088,3881.0,24059.0,False,False
666268910803644416,3185.0,18569.0,False,False
666273097616637952,,,,
666287406224695296,3168.0,20479.0,False,False
666293911632134144,4922.0,28442.0,False,False
666337882303524864,10774.0,43621.0,False,False
666345417576210432,16465.0,64661.0,False,False
666353288456101888,9572.0,31646.0,False,False
666362758909284353,5452.0,28792.0,False,False
666373753744588802,7016.0,32862.0,False,False
666396247373291520,2939.0,11272.0,False,False
666407126856765440,4087.0,21131.0,False,False
666411507551481857,2896.0,19885.0,False,False
666418789513326592,4.0,111.0,False,False
666421158376562688,5776.0,26330.0,False,False
666428276349472768,100.0,0.0,False,False
666430724426358785,6142.0,30616.0,False,False
666435652385423360,5848.0,33803.0,False,False
666437273139982337,3411.0,19255.0,False,False
666447344410484738,16946.0,0.0,False,False
666454714377183233,4000.0,20603.0,False,False
666644823164719104,16564.0,72572.0,False,False
666649482315059201,5111.0,26203.0,False,False
666691418707132416,4301.0,22843.0,False,False
666701168228331520,5211.0,25468.0,False,False
666739327293083650,18605.0,68298.0,False,False
666776908487630848,2738.0,19192.0,False,False
666781792255496192,3144.0,20564.0,False,False
666786068205871104,9033.0,43086.0,False,False
666804364988780544,3388.0,21329.0,False,False
666817836334096384,6070.0,34876.0,False,False
666826780179869698,3562.0,22467.0,False,False
666835007768551424,4477.0,26593.0,False,False
666837028449972224,5564.0,26323.0,False,False
666983947667116034,10595.0,42175.0,False,False
666996132027977728,4472.0,27572.0,False,False
667012601033924608,3111.0,22889.0,False,False
667044094246576128,9776.0,47638.0,False,False
667062181243039745,7.0,117.0,False,False
667065535570550784,14615.0,46518.0,False,False
667073648344346624,4824.0,21861.0,False,False
667090893657276420,2552.0,16061.0,False,False
667119796878725120,3506.0,20031.0,False,False
667138269671505920,5695.0,26815.0,False,False
667152164079423490,3813.0,25391.0,False,False
667160273090932737,3977.0,26002.0,False,False
667165590075940865,3204.0,21054.0,False,False
667171260800061440,10.0,297.0,False,False
667174963120574464,2918.0,22089.0,False,False
667176164155375616,40717.0,99551.0,False,False
667177989038297088,2862.0,15819.0,False,False
667182792070062081,6237.0,0.0,False,False
667188689915760640,4300.0,21226.0,False,False
667192066997374976,2462.0,17885.0,False,False
667200525029539841,3750.0,18232.0,False,False
667211855547486208,6524.0,28378.0,False,False
667369227918143488,1181.0,0.0,False,False
667393430834667520,6112.0,0.0,False,False
667405339315146752,1181.0,7287.0,False,False
667435689202614272,6237.0,39662.0,False,False
667437278097252352,17392.0,74738.0,False,False
667443425659232256,73.0,0.0,False,False
667453023279554560,3495.0,21396.0,False,False
667455448082227200,4775.0,25816.0,False,False
667470559035432960,5124.0,25535.0,False,False
667491009379606528,3062.0,19498.0,False,False
667495797102141441,4306.0,22290.0,False,False
667502640335572993,2180.0,17700.0,False,False
667509364010450944,4293.0,26390.0,False,False
667517642048163840,3928.0,23731.0,False,False
667524857454854144,4514.0,20668.0,False,False
667530908589760512,5596.0,25893.0,False,False
667534815156183040,4347.0,24055.0,False,False
667538891197542400,4264.0,26242.0,False,False
667544320556335104,13383.0,0.0,False,False
667546741521195010,3782.0,24598.0,False,False
667549055577362432,3670.0,21457.0,False,False
667550882905632768,9457.0,32409.0,False,False
667550904950915073,,,,
667724302356258817,3626.0,22884.0,False,False
667728196545200128,1473.0,0.0,False,False
667766675769573376,1473.0,6781.0,False,False
667773195014021121,5006.0,25810.0,False,False
667782464991965184,3437.0,13941.0,False,False
667793409583771648,,,,
667801013445750784,3370.0,19604.0,False,False
667806454573760512,8350.0,38574.0,False,False
667832474953625600,,,,
667861340749471744,7486.0,32498.0,False,False
667866724293877760,10181.0,35601.0,False,False
667873844930215936,3235.0,19172.0,False,False
667878741721415682,3225.0,19123.0,False,False
667885044254572545,5290.0,0.0,False,False
667886921285246976,5117.0,19849.0,False,False
667902449697558528,3551.0,21569.0,False,False
667911425562669056,5747.0,31913.0,False,False
667915453470232577,3.0,115.0,False,False
667924896115245057,2454.0,11737.0,False,False
667937095915278337,24603.0,78744.0,False,False
668113020489474048,3865.0,20815.0,False,False
668142349051129856,7740.0,34698.0,False,False
668154635664932864,,,,
668171859951755264,9406.0,40415.0,False,False
668190681446379520,5874.0,26862.0,False,False
668204964695683073,2909.0,15190.0,False,False
668221241640230912,3527.0,19424.0,False,False
668226093875376128,13468.0,62263.0,False,False
668237644992782336,1937.0,0.0,False,False
668248472370458624,4951.0,25418.0,False,False
668256321989451776,1937.0,9601.0,False,False
668268907921326080,3908.0,23069.0,False,False
668274247790391296,6879.0,32398.0,False,False
668286279830867968,2332.0,15344.0,False,False
668291999406125056,112.0,0.0,False,False
668297328638447616,7384.0,30743.0,False,False
668466899341221888,,,,
668480044826800133,4495.0,19127.0,False,False
668484198282485761,3274.0,18420.0,False,False
668496999348633600,33060.0,116736.0,False,False
668507509523615744,13383.0,50088.0,False,False
668528771708952576,7870.0,0.0,False,False
668537837512433665,5284.0,24529.0,False,False
668542336805281792,4709.0,25334.0,False,False
